model,rate_constant - alpha,rate_constant - integral,rate_constant - differential,MSE - alpha,MSE - integral,MSE - differential
A2,0.013101781090990944,0.013438566390496712,0.014904751541157158,0.0006543246194390109,0.002559325325207866,0.00012595573583671886
A3,0.013259322333227883,0.012734829242955279,0.011878081987464545,0.002735469104768301,0.00546218036997701,0.00013038941777092597
A4,0.013444143633787327,0.012462755047303951,0.009811011644791047,0.009997758228092252,0.018379045751285385,0.00013571037434086754
D1,0.005013842853997414,0.006046262389042395,0.007845349917869848,0.02644053076262632,0.02049074230350373,0.00028149763007293325
D2,0.004656978205458097,0.004656978205458097,0.005207018426661645,0.01905948665819476,0.01905948665819476,0.00040798125121780537
D3,0.000903554059586406,0.0018404776410495805,0.001542701693998242,0.03704379878222478,0.005322635832462636,0.0006276699945204399
D4,0.0012457698507415654,0.0012457698507415654,0.0012762966279021098,0.0016658263794756692,0.0016658263794756692,0.00047071490972449556
F0,0.007977243316523408,0.007977243316472272,0.010311896018624664,0.004647424251642565,0.004647424251642565,0.00013911050923621666
F1,0.01239002785466862,0.016881331542850327,0.018795406679635664,0.017996968778024713,0.16685733292972937,0.00013713745105332589
F2,0.018756572797775862,0.05716628521436317,0.03153520729664868,0.03106507864263259,10.64385336800945,0.00017563088059352068
F3,0.029253947630644716,0.33825672794313444,0.05245303987951266,0.04114514094512866,1097.7803717357026,0.0002603598097154125
P2,0.009148000344915128,0.009539746378009698,0.008945569331784774,0.014368206509698752,0.006533361817503832,0.00018491663654930166
P3,0.009207656521310458,0.010223243331705482,0.0072813181699222206,0.04824291077426876,0.020018513595970594,0.00022100013203361633
P4,0.009123125239475957,0.01060733786765114,0.006058163069903415,0.08373606755254047,0.03309591950304592,0.00024654938312054255
R2,0.0050257207357203675,0.005542312810215511,0.007122171635659304,0.0107472237047775,0.006107364641182826,0.0001281186351046666
R3,0.003596442012991053,0.004202204851373205,0.005221578886724576,0.013154321664490466,0.005086629244180062,0.0001300338180777274
